IDMataKuliah,NamaMataKuliah,Hari,WaktuMulai,WaktuSelesai
1,jarkom,Selasa,07:00,08:50
2,algo tm,Selasa,10:40,11:50
3,Basda tm,Selasa,12:30,14:10
4,matdis,Selasa,14:20,16:00
5,mkwu,Rabu,8:50,10:30
6,prpl,Rabu,12:30,14:10
7,t graf,Rabu,16:00,17:30
